R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
185,193,10,18,69,46,55.677695776112266,1
28,41,62,232,83,58,48.65672935531456,1
74,90,77,135,49,114,40.7114548191175,1
226,123,81,100,99,104,32.88621793840334,1
197,89,102,84,67,77,26.69322654814182,1
226,207,77,48,51,54,67.74398395482761,1
221,178,64,87,206,79,30.90778156717916,1
49,47,29,35,82,160,38.48320785440889,1
202,173,31,29,63,133,71.05118779577298,0
106,33,85,197,187,85,72.8915154025203,1
210,17,35,151,185,211,50.96158274398879,1
144,147,157,50,46,49,36.931356134992214,1
189,202,61,127,49,77,69.96785033033328,1
14,170,95,185,191,203,32.947179978108075,1
85,39,81,21,21,21,24.286025906758606,1
128,40,42,117,66,84,13.563004861053779,0
197,246,181,33,163,85,25.49983330770408,0
217,173,179,124,184,156,41.77498487572624,1
190,185,60,23,152,203,54.16635515440806,1
194,126,66,122,122,123,24.842585847550318,1
193,204,96,178,15,23,62.19272973120616,0
122,166,205,44,43,42,47.35192685622345,1
209,164,178,207,48,48,31.445180401484368,1
62,35,38,53,58,131,25.205337639578865,1
56,91,141,173,23,39,40.12398148266647,0
121,190,148,47,193,54,15.552879455012377,1
58,63,97,25,25,26,19.462595219606598,0
209,219,191,208,19,24,52.93837691792242,0
34,71,134,185,38,47,40.547320589940064,1
106,148,186,77,74,75,32.01388988957128,1
198,192,181,191,66,120,39.155145765399396,1
48,39,45,91,158,203,47.700396293648126,1
74,96,65,60,90,118,28.025361953683348,1
51,109,189,105,168,132,41.43756114024678,0
90,59,95,122,166,205,44.25346087513649,1
83,85,140,117,98,112,16.06848978182959,1
31,40,44,15,78,35,24.62503846623148,1
203,135,27,101,27,33,45.54263862890351,0
190,185,60,238,202,5,10.686864645161313,1
34,32,29,152,77,84,31.72990521909178,0
26,65,46,101,27,33,42.933350482133044,1
106,163,135,77,188,181,12.266361356871897,1
26,187,95,83,36,53,71.93386436071212,0
233,198,11,44,49,62,71.10089095498728,1
122,175,215,196,202,60,50.86108910118672,1
104,198,80,243,150,151,59.332511085948084,1
62,65,84,48,137,88,36.49504420858919,0
136,68,100,189,169,16,59.078612186444495,1
80,77,88,204,19,6,32.72222120889225,1
55,82,83,133,54,52,35.73396262531121,1
196,199,69,166,68,84,59.23808031100108,1
122,135,185,51,69,93,26.63480091014397,1
143,197,97,61,60,62,55.90432601058178,0
74,65,72,127,223,222,62.25718259230795,1
66,65,63,85,115,101,21.012111562558477,1
74,74,73,184,28,39,28.5193869317207,0
111,185,139,239,199,41,32.01406237580781,1
20,142,74,97,95,98,29.75342961457873,1
127,178,153,26,187,95,15.562249139808063,1
50,47,47,46,37,33,5.019628546960073,0
19,110,70,25,154,206,38.99966889730632,0
232,92,83,178,150,170,25.164559628199285,1
185,51,52,53,56,68,33.315063535817714,1
51,69,93,39,41,45,12.844270665466622,1
42,47,49,29,147,89,38.37350614389835,0
37,60,126,51,51,78,11.855198237620854,1
205,186,20,62,58,61,59.10337764043527,0
68,138,32,83,59,71,49.12268507606966,1
134,186,220,119,46,88,55.71692086969546,1
207,10,38,226,239,135,65.41619767955217,1
195,215,236,133,46,51,57.34477413487634,1
229,182,114,33,38,58,67.7060047740319,1
180,73,114,245,217,58,64.40055557422485,1
41,48,64,36,33,34,9.959574793159343,1
73,42,114,51,45,49,21.427424518058633,0
126,65,159,164,55,56,29.818007954366635,0
213,181,29,29,112,168,63.111863733303146,1
206,57,62,144,110,66,26.577147671963633,1
20,123,60,121,61,85,57.00144483789381,0
136,207,155,180,205,141,9.848881521255107,1
202,152,163,86,82,96,34.93405565755536,0
138,144,164,125,129,128,11.704458943705013,1
226,207,77,182,33,33,57.2685184417307,0
211,17,38,65,69,70,32.324425758154966,1
229,99,20,72,191,107,58.845800896346944,1
37,63,136,65,225,74,73.16558705744967,1
62,178,107,60,54,62,49.773018594486636,1
235,215,66,73,109,94,44.96387951226941,1
97,183,120,228,117,140,62.245853818512735,1
205,236,68,40,39,44,79.42973921976527,1
53,56,68,88,151,203,37.21894356647143,1
230,168,205,65,225,74,68.09166415864034,1
181,180,175,40,64,120,51.13261207060052,1
79,56,111,4,200,99,63.04916199431018,1
62,65,84,61,38,40,15.932480409764178,1
50,80,118,105,162,145,38.05094639348015,0
48,169,164,57,132,175,21.77159845788781,1
153,188,142,123,71,103,56.94507144459139,0
47,46,53,52,66,67,11.345455318377548,1
135,171,209,13,90,54,46.882324298539515,0
6,115,84,180,205,141,34.90787806488566,1
218,58,61,50,47,47,36.34710474152457,1
57,76,71,180,134,132,41.57608130884218,1
138,101,166,38,58,107,23.697733248522628,1
54,53,53,141,111,62,28.806167762066007,0
203,213,92,14,154,160,39.85675747488022,1
68,57,101,100,100,98,24.387638874165464,1
239,216,27,19,80,169,76.90732718770003,1
69,208,108,178,177,183,30.337407780210075,1
215,34,48,243,193,27,50.9511142713507,1
35,32,29,48,39,45,8.091758986178107,1
36,35,35,95,159,82,46.09285861105059,0
176,178,45,175,29,63,62.459572854390174,1
74,48,50,67,66,68,12.811497795729512,1
210,21,14,181,180,175,39.532027603975216,0
235,208,37,73,167,85,31.5783418766701,1
231,112,55,196,117,130,22.593372719929537,1
14,101,187,208,173,37,62.46526409419423,0
76,180,171,99,40,69,62.84483460191399,1
66,136,190,224,200,22,61.41113475825167,1
203,213,92,178,110,49,36.85048960386214,1
222,202,119,63,92,151,59.63606578508854,0
145,235,56,169,9,23,80.43050079832037,1
218,64,65,72,175,133,64.75311407208473,1
216,212,69,26,25,25,76.29220843861432,1
58,75,115,120,55,104,21.74768691835754,1
67,70,72,213,181,29,53.37498539616958,0
38,46,74,31,40,44,13.319160387516787,1
189,38,48,196,77,82,8.406371095769735,0
185,166,27,136,74,89,51.666638149497494,0
110,123,110,134,186,220,28.43323514883233,1
68,72,62,184,55,98,35.82464801722214,1
51,47,52,48,137,88,38.578172659029,1
73,69,73,230,183,40,55.128932935982355,1
181,208,196,243,173,20,32.41195605035055,1
56,31,45,230,49,26,40.1930072166831,1
52,52,52,74,90,77,15.85400504414025,1
63,92,151,59,64,68,19.41431667015416,0
30,73,127,41,41,41,22.230907595810333,0
32,37,31,27,78,143,29.690286766653717,0
199,52,61,207,220,113,61.1958445897545,1
165,164,165,61,41,58,46.261433683654346,1
206,187,30,134,36,69,67.58498821404625,0
95,183,71,30,104,67,30.436338017034434,1
108,68,87,154,19,37,19.55691487959291,1
119,178,119,15,75,152,56.782810617763644,0
57,76,71,180,114,127,42.48274027074869,1
245,199,36,75,99,162,63.32972612346545,1
200,203,110,40,149,113,29.890534513464072,1
33,38,58,50,72,135,16.286706704031968,1
152,39,40,114,164,124,57.735491612345406,0
184,55,98,48,46,72,31.27615523594689,1
21,21,21,199,56,62,39.43529428024162,1
41,48,64,178,177,183,51.06930921955394,1
102,64,128,35,32,29,29.17093001666074,1
42,47,49,40,47,52,1.910451898906091,0
125,129,128,141,17,37,35.55586984483464,0
230,54,124,202,17,48,17.930863581853174,1
70,93,124,120,129,165,16.010448026115604,0
75,70,71,38,41,44,11.046254150915859,0
186,203,10,64,66,87,65.6262364839236,0
181,180,175,60,59,50,48.47723286591657,1
53,54,57,201,25,47,33.37182801921257,0
79,16,106,185,193,10,89.52564804015053,1
143,178,39,134,186,220,47.1980263277062,1
205,224,55,178,191,58,8.29765397457756,1
117,98,112,69,50,59,16.725611838834705,0
216,191,14,142,215,89,21.636583112794938,0
77,77,74,202,136,145,37.90628257308419,0
26,23,29,42,44,46,7.978877435275496,1
49,47,55,62,140,73,39.43025344322216,0
76,48,34,70,194,201,60.07401257800901,1
189,222,74,39,82,153,73.72014168686636,1
182,86,22,234,121,73,15.017987060171079,1
49,69,51,58,88,110,21.881519404131456,0
208,24,49,58,49,52,32.21981203565414,0
45,60,85,190,36,36,38.80987980125095,1
71,192,107,33,36,45,58.89689738590742,1
225,195,10,153,82,161,70.15005173134175,1
145,183,199,193,204,96,36.32150592041211,1
144,10,45,109,47,45,9.250680143366015,1
141,38,49,145,235,56,80.26031147573458,0
50,50,52,68,57,101,18.317083773835478,1
45,46,51,177,184,188,53.86149555331599,0
138,46,58,201,88,58,21.14408860688587,1
88,151,203,225,98,47,46.452885735830975,0
102,68,128,207,113,128,31.001223877585808,1
76,180,171,48,48,51,50.139198791683825,1
139,139,145,106,109,134,14.03164094327329,1
92,42,95,115,151,186,40.89063831648283,0
201,36,38,161,215,67,69.81583688253892,1
59,190,59,194,193,50,21.007265606523013,1
208,49,55,54,60,78,37.342964356297664,0
202,173,31,225,98,47,34.68600396172422,1
186,120,129,95,81,103,25.474563106439085,1
56,56,45,167,167,171,44.53979974756561,0
218,121,70,117,98,112,31.83079017451566,1
166,41,53,180,58,66,4.6151144527963694,1
74,97,174,242,235,146,66.34500861035826,0
48,77,147,70,194,201,46.2511351937116,1
102,106,113,116,35,38,29.61335282454256,1
82,149,177,175,184,52,45.89459881887021,1
202,37,53,166,68,84,10.733850030213972,1
18,70,135,227,223,101,77.69445367495928,0
211,110,56,149,50,62,27.91686497022845,1
49,94,207,207,115,122,38.26629446754759,1
163,157,153,96,186,208,23.523795769815393,1
60,53,71,83,36,53,14.100641348221306,0
49,69,51,24,28,40,22.880535078847835,0
21,140,101,15,118,75,8.318252574712,0
